name,english,german,mandarin,korean,japanese,spanish
tkeyNew.youCanEdit,You can edit it from the ‘Settings’ page.,"Sie können es auf der Seite ""Einstellungen"" bearbeiten.",您可以从“设置”页面进行编辑。,'설정'페이지에서 수정할 수 있습니다.,「設定」ページから編集できます。,"Puede editarlo desde la página ""Configuración""."
tkeyNew.verified,Verified,Verifiziert,已验证,확인 됨,確認済み,Verificado
tkeyNew.confirmYourBrowser,Confirm your browser and device details.,Bestätigen Sie Ihre Browser- und Gerätedetails.,确认您的浏览器和设备详细信息。,브라우저 및 장치 세부 정보를 확인하십시오.,ブラウザとデバイスの詳細を確認します。,Confirme los detalles de su navegador y dispositivo.
tkeyNew.enterPassword,Enter Password here,Geben Sie hier das Passwort ein,在这里输入密码,여기에 비밀번호 입력,ここにパスワードを入力してください,Ingrese la contraseña aquí
tkeyNew.verifyViaAnother,Verify via another method,Überprüfen Sie mit einer anderen Methode,通过其他方法验证,다른 방법을 통해 확인,別の方法で確認,Verificar mediante otro método
tkeyNew.loginToTorus,Login to {deviceLink} from the stored browser below to verify your identity.,"Melden Sie sich über den unten gespeicherten Browser bei {deviceLink} an, um Ihre Identität zu überprüfen.",从下面存储的浏览器登录到{deviceLink}以验证您的身份。,아래 저장된 브라우저에서 {deviceLink}에 로그인하여 신원을 확인하세요.,以下の保存されているブラウザから{deviceLink}にログインして、本人確認を行ってください。,Inicie sesión en {deviceLink} desde el navegador almacenado a continuación para verificar su identidad.
tkeyNew.refId,Reference ID,Referenz ID,参考编号,참조 ID,参照ID,Identificación de referencia
tkeyNew.uploadFile,Upload File,Datei hochladen,上传文件,파일 업로드,ファイルをアップロードする,Subir archivo
tkeyNew.uploadAFile,Upload a file,Eine Datei hochladen,上传一个文件,파일을 올리다,ファイルをアップロードする,Cargar un archivo
tkeyNew.recoveryPass,tKey Password,tKey Passwort,tKey密码,tKey 비밀번호,tKeyパスワード,tKey Contraseña
tkeyNew.typeInPass,Type in password,Geben Sie das Passwort ein,输入密码,비밀번호 입력,パスワードを入力してください,Escriba la contraseña
tkeyNew.confirm,Confirm,Bestätigen,确认,확인,確認,Confirmar
tkeyNew.cancel,Cancel,Stornieren,取消,취소,キャンセル,Cancelar
tkeyNew.skip,"Skip, go to my {verifier} Wallet first","Überspringen Sie, gehen Sie zuerst zu meiner {verifier} Wallet",跳过，先进入我的{verifier}电子钱包,건너 뛰고 먼저 내 {verifier} 지갑으로 이동,スキップして、最初に{verifier}ウォレットに移動,"Omitir, primero ve a mi {verifier} Wallet"
tkeyNew.reportNotMe1,This is not me,Das bin nicht ich,这不是我,이건 내가 아니야,これは私ではない,Este no soy yo
tkeyNew.reportNotMe2,report it,Berichte Es,报告它,신고,それを報告する,reportalo
tkeyNew.browser,Browser,Browser,浏览器,브라우저,ブラウザ,Navegador
tkeyNew.doNotAdd,Do not add browser,Fügen Sie keinen Browser hinzu,不添加浏览器,브라우저를 추가하지 마십시오,ブラウザを追加しないでください,No agregue navegador
tkeyNew.confirmAndAdd,Confirm and Add,Bestätigen und hinzufügen,确认并添加,확인 및 추가,確認して追加,Confirmar y agregar
tkeyNew.returnHome,Return Home,Nach Hause zurückkehren,回家,집에 돌아 간다,帰宅,Volver a casa
tkeyNew.secureTorus,Secure Torus sign in,Sichere Torus-Anmeldung,安全Torus登录,보안 토러스 로그인,セキュアトーラスのサインイン,Iniciar sesión Secure Torus
tkeyNew.contactSupport,Contact support,Kontaktieren Sie Support,联系支持,연락처 지원,サポート問い合わせ先,Soporte de contacto
tkeyNew.required,Required,Erforderlich,必要,필수,必須,Necesario
tkeyLogin.signIn,Sign in with any of the following to link account,"Melden Sie sich mit einer der folgenden Optionen an, um ein Konto zu verknüpfen",使用以下任何一种方式登录以链接帐户,계정을 연결하려면 다음 중 하나로 로그인하세요.,アカウントをリンクするには、次のいずれかでサインインしてください,Inicie sesión con cualquiera de los siguientes para vincular la cuenta
tkeyLogin.byLinking,"By linking account, both account will share the same 2FA Wallet and its settings.",Durch die Verknüpfung des Kontos teilen sich beide Konten dieselbe 2FA-Brieftasche und ihre Einstellungen.,通过链接帐户，两个帐户将共享相同的2FA电子钱包及其设置。,계정을 연결하면 두 계정 모두 동일한 2FA 지갑과 해당 설정을 공유하게됩니다.,アカウントをリンクすると、両方のアカウントが同じ2FAウォレットとその設定を共有します。,"Al vincular la cuenta, ambas cuentas compartirán la misma billetera 2FA y su configuración."
tkeyNew.errorNotSupported,Not supported,Not supported,不支持,지원되지 않음,サポートされていません,No soportado
tkeyNew.errorIncorrectPass,Incorrect password. Please try again,Contraseña incorrecta. Inténtalo de nuevo,密码错误。请再试一遍,잘못된 비밀번호. 다시 시도하십시오,パスワードが間違っています。もう一度お試しください,Contraseña incorrecta. Inténtalo de nuevo
tkeyNew.errorCannotRecover,Cannot recover key,No se puede recuperar la clave,无法恢复密钥,키를 복구 할 수 없습니다.,キーを回復できません,No se puede recuperar la clave
tkeyNew.saveDevice,Save browser,Sicherer Browser,保存浏览器,브라우저 저장,ブラウザを保存する,Guardar Navegador
tkeyNew.saveNewDevice,Save new browser as a separate authentication factor or add it as an existing device,Speichern Sie den neuen Browser als separaten Authentifizierungsfaktor oder fügen Sie ihn als vorhandenes Gerät hinzu,将新浏览器另存为单独的身份验证因素，或将其添加为现有设备,새 브라우저를 별도의 인증 요소로 저장하거나 기존 장치로 추가,新しいブラウザを別の認証要素として保存するか、既存のデバイスとして追加します,Guarde el nuevo navegador como un factor de autenticación independiente o agréguelo como un dispositivo existente
tkeyNew.newDeviceLong,Save as new device,Als neues Gerät speichern,另存为新设备,새 장치로 저장,新しいデバイスとして保存,Guardar como dispositivo nuevo
tkeyNew.oldDeviceLong,Save as existing device,Als vorhandenes Gerät speichern,另存为现有设备,기존 장치로 저장,既存のデバイスとして保存,Guardar como dispositivo existente
tkeyNew.currentDevice,Current new device,Aktuelles neues Gerät,当前的新设备,현재 새 장치,現在の新しいデバイス,Nuevo dispositivo actual
tkeyNew.doNotSave,Do not save browser,Browser nicht speichern,不保存浏览器,브라우저를 저장하지 마십시오,ブラウザを保存しないでください,No guardar navegador
tkeyNew.confirmAndSave,Confirm and save,Bestätigen und speichern,确认并保存,확인 및 저장,確認して保存,Confirmar y guardar
tkeyNew.newDevice,New Device,Neues Gerät,新装置,새 장치,新しいデバイス,Nuevo dispositivo
tkeyNew.oldDevice,Existing Device,Vorhandenes Gerät,现有设备,기존 장치,既存のデバイス,Dispositivo existente
tkeyNew.itSeems1,It seems like you are trying to log in from a new device.,"Anscheinend versuchen Sie, sich von einem neuen Gerät aus anzumelden.",似乎您正在尝试从新设备登录。,새 장치에서 로그인을 시도하는 것 같습니다.,新しいデバイスからログインしようとしているようです。,Parece que está intentando iniciar sesión desde un nuevo dispositivo.
tkeyNew.itSeems2,"As a security step,",Als Sicherheitsschritt,作为安全措施，,보안 단계로서,セキュリティ手順として、,"Como paso de seguridad,"
tkeyNew.itSeems3,verify your identity,Bestätigen Sie Ihre Identität,验证您的身份,신원 확인,本人確認,Verifica tu identidad
tkeyNew.itSeems4,with {num} of the following,mit {num} der folgenden,与以下{num},다음 중 {num} 개,次の{num},con {num} de los siguientes
tkeyNew.device,Device,Gerät,设备,장치,端末,Dispositivo
tkeyNew.verifySuccess,Successfully verified,Erfolgreich verifiziert,成功验证,성공적으로 확인되었습니다.,正常に検証されました,Verificado con éxito
tkeyNew.verifyFail,Unable to verify. You will be redirected to your {verifier} wallet in {countdown},Überprüfung nicht möglich. Sie werden in {countdown} zu Ihrer {verifier} Brieftasche weitergeleitet,无法验证。您将被重定向到{倒数}中的{验证者}钱包,확인할 수 없습니다. {countdown} 후에 {verifier} 지갑으로 리디렉션됩니다.,確認できません。 {countdown}の{verifier}ウォレットにリダイレクトされます,No se puede verificar. Serás redirigido a tu billetera {verifier} en {countdown}
tkeyNew.oopsDidntWork,"Oops, That didn't work. Please reload and try again.","Ups, das hat nicht funktioniert. Bitte neu laden und erneut versuchen.",糟糕，那没有用。请重新加载，然后重试。,죄송합니다. 작동하지 않았습니다. 새로 고침하고 다시 시도하십시오.,おっと、それはうまくいきませんでした。リロードして再試行してください。,"Vaya, eso no funcionó. Vuelva a cargar e inténtelo de nuevo."
tkeyNew.somethingWentWrong,Something went wrong. Please try again,Etwas ist schief gelaufen. Bitte versuche es erneut,出了些问题。请再试一次,문제가 발생했습니다. 다시 시도하십시오,何かがうまくいかなかった。もう一度やり直してください,Algo salió mal. Inténtalo de nuevo
tkeyNew.error,Error,Error,错误,오류,エラー,Error
tkeyBackup.recoveryEmail,Recovery Email,Wiederherstellungs-E-Mail,辅助邮箱,복구 이메일,回復メール,Correo electrónico de recuperación
tkeyBackup.recoveryEmailDesc1,Provide a recovery email address.,Geben Sie eine Wiederherstellungs-E-Mail-Adresse an.,提供辅助邮箱地址。,복구 이메일 주소를 입력하세요.,回復用の電子メールアドレスを入力します。,Proporcione una dirección de correo electrónico de recuperación.
tkeyBackup.recoveryEmailDesc2,An email will be sent to you containing the backup phrase.,Sie erhalten eine E-Mail mit der Sicherungsphrase.,包含备用短语的电子邮件将发送给您。,백업 문구가 포함 된 이메일이 발송됩니다.,バックアップフレーズを記載したメールが送信されます。,Se le enviará un correo electrónico con la frase de respaldo.
tkeyBackup.recoveryEmailDesc3,It allows you to get back one of your key shares for account recovery.,Sie können eine Ihrer Schlüsselfreigaben für die Kontowiederherstellung zurückerhalten.,它使您可以取回其中的关键份额之一以进行帐户恢复。,계정 복구를 위해 키 공유 중 하나를 되 찾을 수 있습니다.,それはあなたがアカウント回復のためにあなたの主要な共有の1つを取り戻すことを可能にします。,Le permite recuperar una de sus acciones clave para la recuperación de la cuenta.
tkeyBackup.enterEmail,Enter email,Email eingeben,输入电子邮件,이메일 입력,メールアドレスを入力して,Ingrese correo electrónico
tkeyBackup.enterBackupPhrase,Enter backup phrase here,Geben Sie hier die Sicherungsphrase ein,在此处输入备用词组,여기에 백업 문구 입력,ここにバックアップフレーズを入力してください,Ingrese la frase de respaldo aquí
tkeyBackup.incorrectBackupPhrase,Incorrect backup phrase,Falsche Sicherungsphrase,备份短语不正确,잘못된 백업 문구,間違ったバックアップフレーズ,Frase de respaldo incorrecta
tkeyCreateSetup.youNeedOneMore,You need one more authentication factor to set up your tKey account.,"Sie benötigen einen weiteren Authentifizierungsfaktor, um Ihr tKey-Konto einzurichten.",您还需要一个认证因素来设置您的tKey帐户。,tKey 계정을 설정하려면 인증 요소가 하나 더 필요합니다.,tKeyアカウントを設定するには、もう1つの認証要素が必要です。,Necesita un factor de autenticación más para configurar su cuenta tKey.
tkeyCreateSetup.youMayWantTo,You may want to set up one more authentication factor as a backup.,Möglicherweise möchten Sie einen weiteren Authentifizierungsfaktor als Backup einrichten.,您可能想再设置一个身份验证因子作为备份。,하나 이상의 인증 요소를 백업으로 설정할 수 있습니다.,バックアップとしてもう1つの認証要素を設定することをお勧めします。,Es posible que desee configurar un factor de autenticación más como respaldo.
tkeyBackup.tkeyBackupPhrase,tKey Backup Phrase,tKey Backup Phrase,tKey备份短语,tKey 백업 문구,tKeyバックアップフレーズ,tKey Frase de respaldo
tkeyBackup.thisIsSentToEmail,This is sent to your Recovery email or downloaded from wallet setttings page.,Dies wird an Ihre Wiederherstellungs-E-Mail gesendet oder von der Seite mit den Brieftascheneinstellungen heruntergeladen.,这将发送到您的辅助邮箱或从钱包设置页面下载。,이것은 복구 이메일로 전송되거나 지갑 설정 페이지에서 다운로드됩니다.,これは、リカバリメールに送信されるか、ウォレット設定ページからダウンロードされます。,Esto se envía a su correo electrónico de recuperación o se descarga desde la página de configuración de billetera.
tkeyBackup.backupPhrase,Backup Phrase,Sicherungssatz,备用词组,백업 문구,バックアップフレーズ,Frase de respaldo
tkeyBackup.authenticateWith,Authenticate with a separate Backup Phrase,Authentifizieren Sie sich mit einer separaten Sicherungsphrase,使用单独的备份短语进行身份验证,별도의 백업 문구로 인증,別のバックアップフレーズで認証する,Autenticar con una frase de respaldo separada
tkeyBackup.enterBackupPhrase2,Enter the Backup Phrase from another authentication factor here.,Geben Sie hier die Sicherungsphrase von einem anderen Authentifizierungsfaktor ein.,在此处输入其他身份验证因素的备份短语。,여기에 다른 인증 요소의 백업 문구를 입력합니다.,ここに別の認証要素からのバックアップフレーズを入力します。,Introduzca aquí la Frase de seguridad de otro factor de autenticación.
tkeyBackup.enterBackupPhrase1,Enter backup phrase here,Geben Sie hier die Sicherungsphrase ein,在此处输入备用词组,여기에 백업 문구 입력,ここにバックアップフレーズを入力してください,Ingrese la frase de respaldo aquí
tkeyBackup.saveCopy,Save a copy of your backup phrase,Speichern Sie eine Kopie Ihrer Sicherungsphrase,保存备份短语的副本,백업 문구 사본 저장,バックアップフレーズのコピーを保存します,Guarde una copia de su frase de respaldo
tkeyBackup.copyShareMnemonic,Copy share mnemonic,Kopieren Sie die Share-Mnemonik,复制共享助记符,공유 니모닉 복사,コピー共有ニーモニック,Copiar compartir mnemónico
tkeyBackup.clickToCopy,Click to copy,Klicken Sie zum Kopieren,点击复制,복사하려면 클릭,クリックしてコピー,Haga clic para copiar
tkeyBackup.copyShareNote,Note: This backup phrase containts 1 part of your authentication factors. Keep it somewhere save as a part of your account recovery in future.,"Hinweis: Diese Sicherungsphrase enthält 1 Teil Ihrer Authentifizierungsfaktoren. Bewahren Sie es an einem anderen Ort auf, als Teil Ihrer zukünftigen Wiederherstellung Ihres Kontos.",注意：此备用短语包含您的一部分身份验证因素。 将其保存在某处，以备日后恢复帐户时使用。,참고 :이 백업 문구는 인증 요소의 한 부분을 포함합니다. 나중에 계정 복구의 일부로 저장하여 보관하십시오.,注：このバックアップフレーズには、認証要素の一部が含まれています。 将来のアカウント回復の一環として、どこかに保存しておいてください。,Nota: Esta frase de respaldo contiene 1 parte de sus factores de autenticación. Guárdelo en algún lugar guardado como parte de la recuperación de su cuenta en el futuro.
tkeyCreateSetup.passwordRequired,Password is required,Passwort wird benötigt,密码是必需的,비밀번호가 필요합니다,パスワードが必要,Se requiere contraseña
loginCountry.torusNotSupported,Torus is currently not available in your country,Torus ist derzeit in deinem Land nicht verfügbar,Torus 目前在您所在的国家/地区不可用,현재 귀하의 국가에서는 토러스를 사용할 수 없습니다.,トーラスは現在、お住まいの国ではご利用いただけません,"Actualmente, Torus no está disponible en su país."
loginCountry.stayTuned,Stay tuned for updates to hear about availability in more regions.,"Bleiben Sie dran für Updates, um mehr über die Verfügbarkeit in weiteren Regionen zu erfahren.",请继续关注更新以了解更多地区的可用性。,더 많은 지역에서 사용 가능 여부에 대한 소식을 들을 수 있는 업데이트를 계속 지켜봐 주십시오.,より多くの地域での可用性について聞くために更新をお楽しみに。,Esté atento a las actualizaciones para conocer la disponibilidad en más regiones.
loginCountry.email,Email,Email,电子邮件,이메일,Eメール,Correo electrónico
loginCountry.notifyMe,Notify me,Benachrichtige mich,通知我,나를 통지,私に通知する,Notificarme
loginCountry.supportedCountries1,If you actually live in one of our,Wenn du tatsächlich in einem unserer wohnst,如果你真的住在我们的其中之一,당신이 실제로 우리 중 하나에 살고 있다면,あなたが実際に私たちのいずれかに住んでいる場合,Si vive en uno de nuestros
loginCountry.supportedCountries2,"supported countries,","unterstützte Länder,",支持的国家，,"지원 국가,",サポートされている国、,"países apoyados,"
loginCountry.supportedCountries3,get in touch and we'll help you sign up.,Kontaktieren Sie uns und wir helfen Ihnen bei der Anmeldung.,联系我们，我们会帮助您注册。,연락하시면 가입을 도와드리겠습니다.,お問い合わせいただければ、サインアップのお手伝いをいたします。,ponte en contacto y te ayudaremos a registrarte.
login.secured-by,Secured by,Gesichert durch,担保人,보안,によって保護,Asegurado por
login.selfCustodial,Self-custodial login by,Selbstverwahrungs-Login durch,自托管登录由,자가 관리 로그인,による自己管理ログイン,Inicio de sesión con autocustodia por
login.howWorks,How does this work?,Wie funktioniert das?,这是如何运作的？,어떻게 작동합니까?,これはどのように作動しますか？,¿Como funciona esto?
login.constructYourKey,Constructing your key on,Bauen Sie Ihren Schlüssel auf,构建您的密钥,키 구성,キーを作成する,Construyendo tu clave en
login.selectAnAccount,Select an account to continue,"Wählen Sie ein Konto aus, um fortzufahren",选择一个帐户以继续,계속하려면 계정을 선택하세요.,続行するにはアカウントを選択してください,Seleccione una cuenta para continuar
login.continueToApp,Continue to app,Weiter zur Anwendung,继续应用,앱으로 계속,アプリを続ける,Continuar a la aplicación
login.loader,Don't close this tab! You will be redirected back to this tab on completing login.,Diese Registerkarte nicht schließen! Nach Abschluss der Anmeldung werden Sie zu dieser Registerkarte zurückgeleitet.,不要关闭此选项卡！完成登录后，您将被重定向回此选项卡。,이 탭을 닫지 마십시오! 로그인을 완료하면 이 탭으로 다시 리디렉션됩니다.,このタブを閉じないでください！。ログインが完了すると、このタブにリダイレクトされます,¡No cierres esta pestaña! Se le redirigirá a esta pestaña al completar el inicio de sesión.
login.titleNew, wallet in one click on,Brieftasche mit einem Klick auf,一键钱包,한 번의 클릭으로 지갑,ワンクリックでウォレット,billetera en un clic en
,,,,,,
