name,english,german,mandarin,korean,japanese,spanish
login.2fa-setup-step3-confirm-phrase,"As an advanced user, I know that if I lose this recovery phrase, I bear the risk of losing my account.","Als fortgeschrittener Benutzer weiß ich, dass ich das Risiko trage, mein Konto zu verlieren, wenn ich diesen Wiederherstellungssatz verliere.",作为高级用户，我知道如果我丢失了此恢复短语，我将承担丢失帐户的风险。,고급 사용자로서 나는 이 복구 문구를 잃어버리면 내 계정을 잃을 위험을 감수해야 한다는 것을 알고 있습니다.,上級ユーザーとして、この回復フレーズを失うと、アカウントを失うリスクがあることを私は知っています。,"Como usuario avanzado, sé que si pierdo esta frase de recuperación, corro el riesgo de perder mi cuenta."
login.2fa-setup-step3-next1,Finish setting up,Beenden Sie die Einrichtung,完成设置,설정 완료,セットアップを完了します,Terminar de configurar
login.2fa-setup-step3-next2,Verify,Verifizieren,核实,확인하다,確認,Verificar
login.2fa-setup-step3-next3,Send recovery phrase,Wiederherstellungsphrase senden,发送恢复短语,복구 문구 보내기,回復フレーズを送信する,Enviar frase de recuperación
login.2fa-setup-step3-toggle1,Save my recovery phrase without email,Meine Wiederherstellungsphrase ohne E-Mail speichern,无需电子邮件即可保存我的恢复短语,이메일 없이 내 복구 문구 저장,メールなしで回復フレーズを保存する,Guardar mi frase de recuperación sin correo electrónico
login.2fa-setup-step3-toggle2,Email me my recovery phrase,Senden Sie mir meinen Wiederherstellungssatz per E-Mail,通过电子邮件向我发送恢复短语,내 복구 문구를 이메일로 보내주세요,私の回復フレーズを私にメールしてください,Envíame mi frase de recuperación por correo electrónico
login.2fa-setup-step3-next4,I have saved my recovery phrase,Ich habe meine Wiederherstellungsphrase gespeichert,我已经保存了我的恢复短语,복구 문구를 저장했습니다,回復フレーズを保存しました,He guardado mi frase de recuperación
login.2fa-setup-step3-show-adv,View advanced option,Erweiterte Option anzeigen,查看高级选项,고급 옵션 보기,詳細オプションを表示,Ver opción avanzada
login.2fa-setup-step3-hide-adv,Hide advanced option,Erweiterte Option ausblenden,隐藏高级选项,고급 옵션 숨기기,詳細オプションを非表示,Ocultar opción avanzada
login.2fa-setup-step3-enter-recovery,Enter your recovery phrase,Geben Sie Ihren Wiederherstellungssatz ein,输入您的辅助短语,복구 문구를 입력하세요,回復フレーズを入力してください,Introduce tu frase de recuperación
login.2fa-setup-step3-verified,Verified,Verifiziert,已验证,확인됨,確認済み,Verificado
login.2fa-setup-step3-download,Download my recovery phrase,Laden Sie meinen Wiederherstellungssatz herunter,下载我的恢复短语,내 복구 문구 다운로드,私の回復フレーズをダウンロードする,Descarga mi frase de recuperación
login.mpc-2fa-setup-step3-download,Download my recovery factor,Laden Sie meinen Wiederherstellungsfaktor herunter,下载我的恢复因子,내 회복 인자 다운로드,私のリカバリーファクターをダウンロードする,Descargar mi factor de recuperación
login.2fa-setup-step3-cancel,Back,Zurück,后退,뒤,戻る,atrás
login.2fa-setup-step3-next,Continue,Weitermachen,继续,계속하다,継続する,Continuar
login.2fa-setup-step4-sub1,Verify your recovery phrase,Bestätigen Sie Ihren Wiederherstellungssatz,验证您的恢复短语,복구 문구 확인,回復フレーズを確認する,Verifica tu frase de recuperación
login.mpc-2fa-setup-step4-sub1,Verify your recovery factor,Überprüfen Sie Ihren Erholungsfaktor,验证您的恢复系数,회복 계수 확인,回復率を確認する,Verifique su factor de recuperación
login.2fa-setup-step4-sub21,Paste the recovery phrase,Fügen Sie den Wiederherstellungssatz ein,粘贴恢复短语,복구 문구 붙여넣기,回復フレーズを貼り付けます,Pega la frase de recuperación
login.mpc-2fa-setup-step4-sub21,Paste the recovery factor,Fügen Sie den Wiederherstellungsfaktor ein,粘贴恢复因子,회복 인자 붙여넣기,回復係数を貼り付けます,Pegar el factor de recuperación
login.2fa-setup-step4-sub22,Paste the recovery phrase sent to your email {0},"Fügen Sie den Wiederherstellungssatz ein, der an Ihre E-Mail-Adresse {0} gesendet wurde.",粘贴发送到您的电子邮件的恢复短语 {0},이메일로 전송된 복구 문구를 붙여넣으세요 {0},メールに送信されたリカバリフレーズを貼り付けます{0},Pega la frase de recuperación enviada a tu correo electrónico {0}
login.mpc-2fa-setup-step4-sub22,Paste the recovery factor sent to your email {0},Fügen Sie den an Ihre E-Mail gesendeten Wiederherstellungsfaktor ein {0},粘贴发送到您的电子邮件 {0} 的恢复因素,이메일로 전송된 복구 요소를 붙여넣습니다. {0},メール {0} に送信された回復係数を貼り付けます,Pegue el factor de recuperación enviado a su correo electrónico {0}
login.2fa-setup-step4-recovery,Recovery phrase,Wiederherstellungsphrase,恢复短语,복구 문구,回復フレーズ,Frase de recuperación
login.mpc-2fa-setup-step4-recovery,Recovery factor,Erholungsfaktor,恢复系数,회복 계수,回収率,Factor de recuperación
login.2fa-setup-step4-check-time,Did not receive it? Resent. Check again in {0},Nicht erhalten? Übelnehmen. Erneut einchecken in {0},没有收到吗？ 反感。 再次签入{0},받지 못하셨나요? 화내다. {0}에서 다시 확인,受け取りませんでしたか？ 憤る。 {0}でもう一度確認してください,¿No lo recibiste? Resentirse de. Vuelve a comprobar en {0}
login.2fa-setup-step4-not-received,Did not receive it?,Nicht erhalten?,没有收到吗？,받지 못하셨나요?,受け取りませんでしたか？,¿No lo recibiste?
login.2fa-setup-step4-resend,Resend,Erneut senden,重发,재전송,再送,Reenviar
login.2fa-setup-step4-cancel,Back,Zurück,后退,뒤,戻る,atrás
login.2fa-setup-step4-next,Verify,Verifizieren,核实,검증,確認,Verificar
login.2fa-setup-step4-contact-support,Contact support,Kontaktieren Sie Support,联系支持,연락처 지원,サポート問い合わせ先,Soporte de contacto
login.2fa-setup-step5-sub1,Your 2FA has been activated!,Ihre 2FA wurde aktiviert!,您的 2FA 已激活！,2FA가 활성화되었습니다!,2FAがアクティブになりました！,¡Su 2FA ha sido activado!
login.2fa-setup-step5-sub2,Manage future account settings on app.openlogin.com,Verwalten Sie zukünftige Kontoeinstellungen auf app.openlogin.com,在 app.openlogin.com 上管理未来的帐户设置,app.openlogin.com에서 향후 계정 설정 관리,app.openlogin.comで将来のアカウント設定を管理します,Administre la configuración de la cuenta futura en app.openlogin.com
login.2fa-setup-step5-next,Done,Fertig,完毕,완료,終わり,Hecho
login.2fa-setup-step5-return-app,Return to application,Zurück zur Anwendung,返回申请,애플리케이션으로 돌아가기,アプリケーションに戻る,Volver a la aplicación
login.2fa-verify-title1,Verify your login,Bestätigen Sie Ihre Anmeldung,验证您的登录信息,로그인 확인,ログインを確認する,Verifique su inicio de sesión
login.2fa-verify-title2,2FA activated,2FA aktiviert,2FA 激活,2FA 활성화,2FAがアクティブ化,2FA activado
login.2fa-verify-step1-sub1,Authenticate with one of the following,Authentifizieren Sie sich mit einer der folgenden Optionen,使用以下之一进行身份验证,다음 중 하나로 인증,次のいずれかで認証します,Autenticarse con uno de los siguientes
login.2fa-verify-step1-sub2,You need one of the following to login,"Sie benötigen eine der folgenden Möglichkeiten, um sich anzumelden",您需要以下其中一项才能登录,로그인하려면 다음 중 하나가 필요합니다.,ログインするには、次のいずれかが必要です,Necesita uno de los siguientes para iniciar sesión
login.2fa-verify-step1-panel1,Saved browser(s) / devices,Gespeicherte(r) Browser/Geräte,保存的浏览器/设备,저장된 브라우저/기기,保存されたブラウザ/デバイス,Navegadores / dispositivos guardados
login.2fa-verify-step1-panel2,Recovery phrase,Wiederherstellungsphrase,恢复短语,복구 문구,回復フレーズ,Frase de recuperación
login.mpc-2fa-verify-step1-panel2,Recovery factor,Erholungsfaktor,恢复系数,회복 계수,回収率,Factor de recuperación
login.2fa-verify-step1-rec-label,Enter recovery phrase,Geben Sie den Wiederherstellungssatz ein,输入恢复短语,복구 문구 입력,回復フレーズを入力してください,Ingrese la frase de recuperación
login.mpc-2fa-verify-step1-rec-label,Enter recovery factor,Erholungsfaktor eingeben,输入恢复系数,회복 계수 입력,回復係数を入力してください,Ingrese el factor de recuperación
login.2fa-verify-step1-rec-placeholder,Recovery phrase,Wiederherstellungsphrase,恢复短语,복구 문구,回復フレーズ,Frase de recuperación
login.mpc-2fa-verify-step1-rec-placeholder,Recovery factor,Erholungsfaktor,恢复系数,회복 계수,回収率,Factor de recuperación
login.2fa-verify-step1-do-not-save,Do not save this brower/device.,Speichern Sie diesen Browser/dieses Gerät nicht.,不要保存此浏览器/设备。,이 브라우저/장치를 저장하지 마십시오.,このブラウザ/デバイスを保存しないでください。,No guarde este navegador / dispositivo.
login.2fa-verify-step1-verify,Verify,Verifizieren,核实,검증,確認,Verificar
login.2fa-verify-step2-sub1,Successful verification,Erfolgreiche Verifizierung,验证成功,인증 성공,検証の成功,Verificación exitosa
login.2fa-verify-step1-go-app,Go to App,Gehe zu App,转到应用程序,앱으로 이동,アプリに行きます,Ir a la aplicación
login.2fa-setup-step4-contact-support,Contact Support,Kontaktieren Sie Support,联系支持,연락처 지원,サポート問い合わせ先,Soporte de contacto
login.2fa-verify-success-head,Successful,Erfolgreich,成功的,성공적인,成功,Exitoso
login.2fa-verify-success-title,2FA verified,2FA verifiziert,2FA 验证,2FA 인증,2FA検証済み,2FA verificado
login.2fa-verify-success-subtitle,Logging you in,Melden Sie sich an,登录,로그인,ログインします,iniciando sesión
login.2fa-verify-save-head,Account recovered,Konto wiederhergestellt,帐户已恢复,계정 복구됨,アカウントが回復しました,Cuenta recuperada
login.2fa-verify-save-subhead,Would you like to save this device as a trusted device?,Möchten Sie dieses Gerät als vertrauenswürdiges Gerät speichern?,您想将此设备保存为受信任的设备吗？,이 장치를 신뢰할 수 있는 장치로 저장하시겠습니까?,このデバイスを信頼できるデバイスとして保存しますか？,¿Le gustaría guardar este dispositivo como dispositivo de confianza?
login.2fa-verify-save-nosave,Maybe next time,Vielleicht nächstes Mal,下次吧,아마 다음 번에,また今度,Quizás la próxima vez
login.2fa-verify-save-save,Save this device,Speichern Sie dieses Gerät,保存此设备,이 기기 저장,このデバイスを保存します,Guardar este dispositivo
login.2fa-verify-share-head,Select one of the following,Wählen Sie eine der folgenden Optionen,选择以下之一,다음 중 하나를 선택하십시오.,次のいずれかを選択してください,Selecciona uno de los siguientes
login.2fa-verify-share-subhead,You need one of the following to login,"Sie benötigen eine der folgenden Möglichkeiten, um sich anzumelden",您需要以下其中一项才能登录,로그인하려면 다음 중 하나가 필요합니다.,ログインするには、次のいずれかが必要です,Necesita uno de los siguientes para iniciar sesión
login.2fa-verify-share-browser,Browser,Browser,浏览器,브라우저,ブラウザ,Navegador
login.2fa-verify-share-send,Send request,Anfrage senden,发送请求,요청 보내기,リクエストを送信,Enviar petición
login.2fa-verify-share-resend,Resend request,Anfrage erneut senden,重新发送请求,재전송 요청,再送信リクエスト,Reenviar solicitud
login.2fa-verify-recovery-title,Recovery code,Wiederherstellungscode,恢复代码,복구 코드,リカバリコード,Código de recuperación
login.2fa-verify-recovery-label,Enter recovery phrase,Geben Sie den Wiederherstellungssatz ein,输入恢复短语,복구 문구 입력,回復フレーズを入力してください,Ingrese la frase de recuperación
login.2fa-verify-recovery-placeholder,Recovery phrase,Wiederherstellungsphrase,恢复短语,복구 문구,回復フレーズ,Frase de recuperación
login.2fa-verify-recovery-note,"If you are unable to verify any of the above, you are unable to login to your account.","Wenn Sie keinen der oben genannten Punkte bestätigen können, können Sie sich nicht bei Ihrem Konto anmelden.",如果您无法验证上述任何一项，则无法登录您的帐户。,위의 항목 중 하나라도 확인할 수 없으면 계정에 로그인할 수 없습니다.,上記のいずれかを確認できない場合は、アカウントにログインできません。,"Si no puede verificar ninguno de los anteriores, no puede iniciar sesión en su cuenta."
login.2fa-verify-verify,Verify,Verifizieren,核实,검증,確認,Verificar
login.2fa-verify-multi-head,Allow access from your saved browser,Erlauben Sie den Zugriff von Ihrem gespeicherten Browser,允许从您保存的浏览器访问,저장된 브라우저에서 액세스 허용,保存したブラウザからのアクセスを許可する,Permitir el acceso desde su navegador guardado
login.2fa-verify-multi-subhead,Login to the following saved browser to approve access,"Melden Sie sich beim folgenden gespeicherten Browser an, um den Zugriff zu genehmigen",登录到以下已保存的浏览器以批准访问,액세스를 승인하려면 다음 저장된 브라우저에 로그인하십시오.,次の保存されたブラウザにログインして、アクセスを承認します,Inicie sesión en el siguiente navegador guardado para aprobar el acceso
login.2fa-verify-multi-subhead2,A login request will be sent to your saved browser,Eine Anmeldeanfrage wird an Ihren gespeicherten Browser gesendet,登录请求将发送到您保存的浏览器,저장된 브라우저로 로그인 요청이 전송됩니다.,保存したブラウザにログインリクエストが送信されます,Se enviará una solicitud de inicio de sesión a su navegador guardado
login.2fa-verify-multi-title,{0} devices available,{0} Geräte verfügbar,{0} 台设备可用,사용 가능한 기기 {0}대,利用可能な{0}デバイス,{0} dispositivos disponibles
login.2fa-verify-try-other,Try other methods,Probieren Sie andere Methoden aus,尝试其他方法,다른 방법 시도,他の方法を試す,Pruebe otros métodos
login.2fa-verify-reference-id,Reference ID,Referenz ID,参考编号,참조 ID,参照ID,Identificación de referencia
login.constructYourKey,Constructing your key on,Bauen Sie Ihren Schlüssel auf,构建您的密钥,키 구성,キーを作成する,Construyendo tu clave en
login.social-2fa-heading,Set Social recovery factor,Setzen Sie den sozialen Genesungsfaktor,设定社会恢复因素,사회 복구 요인을 설정하십시오,社会的回復要因を設定します,Establecer factor de recuperación social
login.social-2fa-subtitle-1,Login with any of the social account to set it as recovery factor,"Melden Sie sich mit einem der sozialen Konto an, um es als Wiederherstellungsfaktor festzulegen",用任何社会帐户登录将其设置为恢复因素,소셜 계정에 로그인하여 복구 계수로 설정,ソーシャルアカウントのいずれかでログインして、回復要因として設定します,Inicie sesión con cualquiera de la cuenta social para establecerla como factor de recuperación
login.social-2fa-subtitle-2,"In case you lose access to your saved browser, you can authenticate with your Social account.","Falls Sie den Zugriff auf Ihren gespeicherten Browser verlieren, können Sie sich mit Ihrem sozialen Konto authentifizieren.",如果您无法访问保存的浏览器，则可以通过社交帐户进行身份验证。,저장된 브라우저에 대한 액세스 권한을 잃어버린 경우 소셜 계정으로 인증 할 수 있습니다.,保存されたブラウザへのアクセスを失う場合は、ソーシャルアカウントで認証できます。,"En caso de que pierda acceso a su navegador guardado, puede autenticarse con su cuenta social."
login.social-2fa-continue-text,Select how you like to continue,"Wählen Sie, wie Sie fortfahren möchten",选择您喜欢如何继续,계속하는 방법을 선택하십시오,続行する方法を選択してください,Seleccione cómo le gusta continuar
login.social-2fa-warn-text-1,This Social factor only acts as a backup share to recover your account linked to “abcd@xyz.com”.,"Dieser soziale Faktor fungiert nur als Sicherungsanteil, um Ihr mit „abcd@xyz.com“ verknüpfter Konto wiederherzustellen.",这个社会因素仅充当备份共享，以恢复您的帐户链接到“ abcd@xyz.com”。,"이 사회적 요소는 ""abcd@xyz.com""에 링크 된 계정을 복구하기위한 백업 공유 역할을합니다.",このソーシャルファクターは、「abcd@xyz.com」にリンクされたアカウントを回復するためのバックアップ共有としてのみ機能します。,"Este factor social solo actúa como una participación de respaldo para recuperar su cuenta vinculada a ""abcd@xyz.com""."
login.social-2fa-warn-text-2,Signing in with this Social factor at the login page will give you a new account.,"Wenn Sie sich bei diesem sozialen Faktor auf der Anmeldeseite anmelden, erhalten Sie ein neues Konto.",在登录页面上使用此社交因素签名将为您提供一个新帐户。,로그인 페이지 에서이 소셜 요소에 로그인하면 새 계정이 제공됩니다.,ログインページでこのソーシャルファクターにサインインすると、新しいアカウントが提供されます。,Iniciar sesión con este factor social en la página de inicio de sesión le dará una nueva cuenta.
login.social-2fa-view-more,View more,Mehr sehen,查看更多,더보기,もっと見る,Ver más
login.social-2fa-view-less,View less,Weniger anzeigen,少查看,덜보십시오,表示が少なくなります,Ver menos
login.social-2fa-verify-account,Verify with your social account,Überprüfen Sie mit Ihrem sozialen Konto,验证您的社交帐户,소셜 계정으로 확인하십시오,ソーシャルアカウントで確認します,Verifique con su cuenta social
login.social-2fa-verify-heading,Social Recovery factor,Sozialer Genesungsfaktor,社会恢复因素,사회 복구 요인,社会的回復要因,Factor de recuperación social
login.social-2fa-verify-email,Verify with your email,Überprüfen Sie mit Ihrer E -Mail,通过电子邮件验证,이메일로 확인하십시오,メールで確認してください,Verifique con su correo electrónico
login.social-2fa-warning-text,You are using the same email for account login and social factor. This is insecure. Would you still like to proceed?,Sie verwenden dieselbe E -Mail für Kontoanmeldung und sozialer Faktor. Das ist unsicher. Möchten Sie immer noch fortfahren?,您正在使用同一电子邮件进行帐户登录和社会因素。这是不安全的。您还想继续吗？,계정 로그인 및 소셜 요소에 동일한 이메일을 사용하고 있습니다. 이것은 안전하지 않습니다. 아직도 진행하고 싶습니까?,アカウントログインとソーシャルファクターに同じメールを使用しています。これは不安です。まだ進みたいですか？,Está utilizando el mismo correo electrónico para el inicio de sesión de la cuenta y el factor social. Esto es inseguro. ¿Todavía te gustaría continuar?
login.social-2fa-warning-cta-1,"Yes, I accept the risk","Ja, ich akzeptiere das Risiko",是的，我接受风险,"예, 위험을 받아들입니다",はい、私はリスクを受け入れます,"Sí, acepto el riesgo"
login.social-2fa-warning-cta-2,"No, use another email","Nein, verwenden Sie eine andere E -Mail",不，使用另一封电子邮件,"아니요, 다른 이메일을 사용하십시오",いいえ、別のメールを使用してください,"No, usa otro correo electrónico"
